Word,Stopwords,FREQcount,Dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,,,,,,Adjective
a,1,1041179,Article,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5,,,,,,Adjective
aa,0,87,Name,0.92,Name.Noun,79.7,,,,,,Adjective
aaa,0,25,Name,0.8,Name.Noun,20.5,,,,,,Adjective
aah,0,2688,Interjection,1,Interjection,2657,,,,,,Adjective
aahed,0,1,Verb,1,Verb,1,,,,,,Adjective
aahing,0,2,Verb,1,Verb,2,,,,,,Adjective
aahs,0,5,Noun,1,Noun,5,,,,,,Adjective
aal,0,1,Adjective,1,Adjective,1,,,,,,Adjective
aardvark,0,21,Noun,0.76,Noun.Verb.Name,16.3.2,,,,,,Adjective
aargh,0,33,Interjection,1,Interjection,32,,,,,,Adjective
aaron,0,747,Name,1,Name,744,,,,,,Adjective
aarrgh,0,1,Verb,1,Verb,1,,,,,,Adjective
aarrghh,0,1,Noun,1,Noun,1,,,,,,Adjective
aas,0,2,Noun,0.5,Noun.Name,1.1,,,,,,Adjective
ab,0,75,Unclassified,0.78,Unclassified.Noun.Verb,57.11.5,,,,,,Adjective
aba,0,4,Noun,1,Noun,2,,,,,,Adjective
abaca,0,1,Noun,1,Noun,1,,,,,,Adjective
aback,0,15,Adverb,1,Adverb,15,,,,,,Adjective
abacus,0,12,Noun,0.92,Noun.Name,11.1,,,,,,Adjective
abacuses,0,1,Noun,1,Noun,1,,,,,,Adjective
abaddon,0,10,Noun,0.6,Noun.Name,6.4,,,,,,Adjective
abaft,0,2,Verb,0.5,Verb.Noun,1.1,,,,,,Adjective
abalone,0,26,Verb,0.54,Verb.Noun.Name,14.9.3,,,,,,Adjective
abalones,0,6,Noun,1,Noun,6,,,,,,Adjective
abandon,0,413,Verb,0.96,Verb.Noun,395.18,,,,,,Adjective
abandoned,0,678,Verb,0.71,Verb.Adjective,480.2,,,,,,Adjective
abandoner,0,1,Noun,1,Noun,1,,,,,,Adjective
abandoning,0,86,Verb,1,Verb,86,,,,,,Adjective
abandonment,0,49,Noun,1,Noun,49,,,,,,Adjective
abandons,0,14,Verb,1,Verb,14,,,,,,Adjective
abase,0,3,Verb,1,Verb,3,,,,,,Adjective
abastard,0,1,Noun,1,Noun,1,,,,,,Adjective
abate,0,5,Verb,0.8,Verb.Noun,4.1,,,,,,Adjective
abated,0,4,Verb,1,Verb,4,,,,,,Adjective
abatement,0,3,Noun,1,Noun,3,,,,,,Adjective
abates,0,2,Verb,1,Verb,2,,,,,,Adjective
abating,0,1,Verb,1,Verb,1,,,,,,Adjective
abattoir,0,7,Noun,1,Noun,7,,,,,,Adjective
abay,0,3,Name,1,Name,3,,,,,,Adjective
abb,0,3,Name,0.54,Name.Noun,28.24,,,,,,Adjective
abba,0,9,Name,0.78,Name.Noun,7.2,,,,,,Adjective
abbas,0,5,Name,1,Name,5,,,,,,Adjective
abbe,0,2,Name,1,Name,2,,,,,,Adjective
abbess,0,2,Noun,0.5,Noun.Name,1.1,,,,,,Adjective
abbesses,0,1,Noun,1,Noun,1,,,,,,Adjective
abbey,0,162,Noun,0.94,Noun.Name,152.1,,,,,,Adjective
abbot,0,43,Name,0.51,Name.Noun,22.21,,,,,,Adjective
abbott,0,401,Name,1,Name.Noun,396.1,,,,,,Adjective
abbreviate,0,1,Verb,1,Verb,1,,,,,,Adjective
abbreviated,0,16,Adjective,0.75,Adjective.Verb,12.4,,,,,,Adjective
abbreviation,0,12,Noun,1,Noun,12,,,,,,Adjective
abbreviations,0,10,Noun,1,Noun,10,,,,,,Adjective
abby,0,637,Name,1,Name,632,,,,,,Adjective
abc,0,124,Name,0.91,Name.Noun,114.11,,,,,,Adjective
abd,0,1,Noun,1,Noun,1,,,,,,Adjective
abdicate,0,9,Verb,1,Verb,9,,,,,,Adjective
abdicated,0,7,Verb,1,Verb,7,,,,,,Adjective
abdicates,0,1,Noun,1,Noun,1,,,,,,Adjective
abdicating,0,3,Verb,1,Verb,3,,,,,,Adjective
abdication,0,6,Noun,1,Noun,6,,,,,,Adjective
abdomen,0,171,Noun,1,Noun,171,,,,,,Adjective
abdomens,0,3,Noun,1,Noun,3,,,,,,Adjective
abdominal,0,174,Adjective,1,Adjective,174,,,,,,Adjective
abdominals,0,7,Noun,1,Noun,7,,,,,,Adjective
abduct,0,36,Verb,0.94,Verb.Noun,34.2,,,,,,Adjective
abducted,0,255,Verb,0.94,Verb.Adjective.Name,240.11.3,,,,,,Adjective
abductee,0,20,Noun,1,Noun,20,,,,,,Adjective
abductees,0,18,Noun,1,Noun,18,,,,,,Adjective
abducting,0,16,Verb,1,Verb,16,,,,,,Adjective
abduction,0,185,Noun,1,Noun,185,,,,,,Adjective
abductions,0,42,Noun,1,Noun,41,,,,,,Adjective
abductor,0,18,Noun,0.94,Noun.Name,17.1,,,,,,Adjective
abductors,0,11,Noun,1,Noun,11,,,,,,Adjective
abducts,0,8,Verb,1,Verb,8,,,,,,Adjective
abeam,0,7,Noun,0.86,Noun.Verb,6.1,,,,,,Adjective
abed,0,10,Adverb,1,Adverb,10,,,,,,Adjective
abel,0,68,Name,0.97,Name.Verb.Noun,66.1.1,,,,,,Adjective
abele,0,1,Noun,1,Noun,1,,,,,,Adjective
abend,0,9,Noun,0.67,Noun.Name,6.3,,,,,,Adjective
aberdeen,0,17,Name,1,Name,17,,,,,,Adjective
abernethy,0,1,Name,1,Name,1,,,,,,Adjective
aberrant,0,15,Adjective,0.8,Adjective.Noun,12.3,,,,,,Adjective
aberration,0,28,Noun,1,Noun,28,,,,,,Adjective
aberrations,0,8,Noun,1,Noun,8,,,,,,Adjective
abet,0,5,Verb,1,Verb,5,,,,,,Adjective
abetted,0,8,Verb,1,Verb,8,,,,,,Adjective
abetting,0,26,Verb,0.96,Verb.Name,26.1,,,,,,Adjective
abettor,0,1,Noun,1,Noun,1,,,,,,Adjective
abeyance,0,2,Noun,1,Noun,2,,,,,,Adjective
abhor,0,12,Verb,1,Verb,12,,,,,,Adjective
abhorred,0,7,Verb,1,Verb,7,,,,,,Adjective
abhorrent,0,9,Adjective,1,Adjective,9,,,,,,Adjective
abhors,0,4,Verb,1,Verb,4,,,,,,Adjective
abide,0,138,Verb,1,Verb,138,,,,,,Adjective
abided,0,3,Verb,1,Verb,3,,,,,,Adjective
abiders,0,1,Noun,1,Noun,1,,,,,,Adjective
abides,0,4,Verb,1,Verb,4,,,,,,Adjective
abiding,0,25,Adjective,0.68,Adjective.Verb,17.8,,,,,,Adjective
abigail,0,154,Name,0.58,Name.Verb.Noun,88.51.14,,,,,,Adjective
